

--- App Pages ---
                       Page Name            User Type  Page ID                                                                                             PAGE FUNCTION  Priority                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Description / Purpose                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Key Features / Elements (Multi-Depth)  Build Status                                                                                                                                                                                                                                                                                                                                            User Story                                                                                                                                                                                                                                                                        Acceptance Criteria  Test Status                                                                                                                                                       AI Dependencies                                                                                                                                                                                                                                                                                                                                                                           antigravity IDE agent prompt              Unnamed: 13               Unnamed: 14                Unnamed: 15
46            COMMISSION COMPASS             Employee     E-17                                                             LONG-TERM GOAL PLANNING & REVERSE ENGINEERING      High                                                                                                                                                                 The North Star. A macro-planning tool that connects annual financial dreams to daily grit. Unlike the Actionator (Micro/Daily), this sets the trajectory. It allows Reps to visualize their "Why" (Dream Board) and mathematically reverse-engineers the "How" (Activity Metrics) based on their real-time closing data.                                                                                                                                        - "Dream Board" Visualizer: Progress bar fills up over a user-uploaded photo (e.g., Tesla/Hawaii); - "Reverse Engineer" Calc: Input $ Goal -> Output required Doors/Calls per day; - "Pace Car" Logic: Calculates +/- pace against the annual goal (Visualized in Dashboard Header); - Tier Progression: Visual roadmap showing how to jump from "Junior" to "Senior" commission rates.         To Do                                                                                                                                                             - As a Rep, I want to know exactly how many doors I need to knock today to buy a Lamborghini in December; - As a Manager, I want to see which Reps are "Behind Pace" so I can coach them.                                                                                                  - Math Logic: Matches calculations.ts (Goal / Avg Comm / Close Rate = Activity); - Dream Image: Uploads and persists; - "Pace Car": Calculates (Current YTD vs (Goal / 365 * DayOfYear)).      Pending                                                                      - Dependency: Linked to Employee Dashboard (Header Widget); - Codebase: commission-compass repo.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
47                REPORT BUILDER             Employee     E-18                                                                  FIELD INTELLIGENCE & AGREEMENT GENERATOR      High                                                                                             The Slide Forge. A tool that turns rough field notes and photos into professional, visual PDF reports and legal agreements. It uses AI Vision to analyze uploaded photos, suggest repairs (action-recommender.tsx), and auto-write the Scope of Work (generate-scope-flow.ts). It links directly to the Subcontractor Agreement module to turn that scope into a binding contract instantly.                                                                                                                             - "Slide Forge" UI: Drag-and-drop report builder that treats photos as "Slides" with AI captions; - AI Defect Detective: Analyzes photos to auto-suggest "Hail Damage" or "Maintenance Needed" tags; - Camera Annotator: Built-in drawing tools to circle damage on photos; - "One-Click Contract": Converts the Inspection Report directly into a Subcontractor Agreement with legal boilerplate.         To Do                                                                                                                               - As an Inspector, I want to snap 10 photos and have the system write the report for me so I don't have to type at night; - As a PM, I want to turn a Scope of Work into a signed Subcontractor Agreement in 5 seconds.                                                                                               - Input: Photo upload triggers AI captioning; - Output: Generates a branded PDF Report AND a Digital Contract link; - Logic: "Severe" damage tag triggers "Urgent Repair" proposal template.      Pending                                                                                                  - Codebase: insprprtcntagmtqttool repo; - Dependency: AI Vision API.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
48             LINE ITEM CATALOG             Employee     E-19                                                                               ITEM INFORMATION COLLECTION      High                                                                                                                                                                                                                                                The Master Library. A comprehensive database of all Material (Supplier) and Labor (Contractor) items, grouped by Service Type (Asphalt, Flat Roof, Upgrades). Connects backend pricing to frontend visuals (Photos/Videos) for the quote.                                                                                                                                                                    - Organization: Grouped by Service Type (Asphalt, Flat, Upgrades); - Item Fields: Name, SKU, Cost Type (Mat/Lab/Ovrd/Prof), Base Rate; - Media Library: Upload Photo & Video for EVERY item (Required for Quote presentation); - Supplier/Contractor Assignment: Link item to specific vendor; - "Live Formula" Tag: Marks items used in E-05 calculations.         To Do                                                                                               - As an Admin, I want to upload a photo and video for "Duration Shingles" so the customer sees exactly what they are buying on the digital quote; - As a Manager, I want to separate "Asphalt" items from "Flat Roof" items to keep the database clean.                  - Item Creation: Requires "Service Type" selection (e.g., Asphalt); - Media: Photo/Video upload validates and saves to DB; - Sync: New items become available in E-05 Pricing Engine; - Data Structure: Matches "Inputs/Outputs" schema (e.g., LayerCount -> LayerLabor).      Pending                                                    - Dependency: Linked to Pricing Engine (E-05); - Storage: Requires AWS S3 (or similar) for high-res video hosting.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
49             LINE ITEM PROFILE             Employee     E-20                                                                                       ITEM PROFILE + DATA      High                                                                                                                                         The Item DNA. A deep-dive view for a single item. Critical function: Acts as a 'Universal Translator' that maps RHIVE's Internal Name to the specific terminology/SKUs used by different Suppliers and Contractors (e.g., Internal: 'Standard Install' = Contractor A: 'Square App'). Also houses the 'Quantum' sales script and warranty specs.                                                                                                                                                                                                                  - Universal Translator Table: Columns for [3rd Party Name] | [Their Item Name/Alias] | [Their Price] | [Their SKU]; - Spec Sheet: Warranty years, Color Options (Hex codes); - "The Why" Field: Scripted sales language in RHIVE voice; - Media Gallery: High-res photos/videos; - History: Price change log.         To Do                                                         - As an Ops Manager, I want to see that "Gutter Install" is called "Eavestroughing" by Contractor Bob so I send the work order with HIS terminology to avoid confusion; - As a Rep, I want to read the "Quantum Value" script so I can explain to the homeowner why this product is superior.                                                                                             - Alias Logic: POs generated for ABC Supply use ABC's Item Name/SKU, not ours; - Media: Photos display in a carousel; - Data: Saving a new cost updates the master E-05 average if configured.      Pending                                                                - Dependency: Linked to Vendor Database (E-10); - Note: "The Why" field feeds the Quote Proposal text.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
50                       MY INFO             Employee     E-21                                                                       DIGITAL PERSONNEL FILE & ONBOARDING      High                                                                                                                                                                                                                           The Self-Service HR. The personal portal for the logged-in user. Replaces paper files by housing active contracts, certifications, and banking info. Features "Stop Work" logic for expired certifications and an optional Emergency Profile for field safety.                                                                                                                                                                                                                                                                          - Digital Vault: View/Sign W9, Employment Agreements; - Certification Tracker: Monitoring of OSHA/License expirations; - "My Money": Direct Deposit update form; - Emergency Card: Optional medical info (Allergies/Blood Type) + Emergency Contacts.         To Do                                                                                                                                                  - As an Installer, I want to update my Direct Deposit info from my phone so I don't have to drive to the office; - As a Manager, I want the system to block an uncertified rep from climbing a roof.                                                                                                       - Expired Cert: Auto-removes user from Dispatch Board (E-22); - Bank Update: Triggers security verification email; - Emergency Data: Visible only to Admins and assigned Crew Leads.      Pending                                                                                    - Dependency: HR Database; - Security: High-level encryption for PII/Banking data.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
51              EMPLOYEE TIMEOFF             Employee     E-22                                                                         CAPACITY MANAGEMENT & HR REQUESTS    Medium                                                                                                                                                                                                                           The Availability Engine. A simple portal for internal employees (Sales/PMs/Admins) to request leave. Critical function: Approved time off physically blocks the Global Calendar, preventing Dispatch from assigning jobs or appointments to unavailable staff.                                                                                                                                                                                                                                                                                                                - Calendar Block: Approved requests turn dates "Gray" in the Scheduler (E-11); - "Blackout" Warning: Manual admin alerts for high-volume storm seasons; - "Time Bank": Visual display of Remaining PTO vs Used.         To Do                                                                                                                                                                                                        - As a PM, I want to request Friday off and know I won't get scheduled for a job; - As an Admin, I want to approve/deny requests in one click.                                                                                                                                                  - Logic: Approval = Create "All Day Event" (Busy) in E-11; - UI: Simple calendar selection interface; - Data: Tracks history of requests.      Pending                                                                                                                       - Dependency: Linked to Global Calendar (E-11).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
52            QUOTE BUILDER TOOL             Employee     E-23                                                                        DIGITAL PROPOSAL CREATOR & HANDOFF      High  The Pricing Engine. A tool that converts raw measurements into a finalized, calculable quote. It lists all requested quotes in a queue. The Rep clicks a request, manually inputs service-specific data (Roof/Gutter/Solar), and finalizes the pricing. Once approved, it pushes the data to the Customer Portal. Features a "Touchless Handoff" where the Rep generates a QR Code or SMS Link so the customer can Sign & Pay on their own device (E-21) instead of the company tablet.                                                                                                                           - "Quote Queue": List of pending quote requests awaiting pricing; - Service Inputs: Manual entry fields for specific trade types (e.g., "Shingle" vs "Metal" inputs); - "Touchless Handoff": Generates a unique QR Code/Link that opens the specific quote in the Customer's mobile browser for signature/payment; - "Push to Portal": Finalize button locks the price and makes it visible in C-01.         To Do                                                                                                                                      - As a Rep, I want to send a link to the customer's phone so they can sign the contract privately without holding my iPad; - As a Manager, I want to see a list of "Pending Quotes" that haven't been built yet.                                                                                                      - Input: Manual data entry saves to Project Record; - Handoff: QR Code scans successfully and opens E-21 (Sign & Verify); - Output: Status changes to "Quote Sent" upon finalization.      Pending                                                                                 - Dependency: Linked to Sign & Verify (E-21); - Codebase: insprprtcntagmtqttool repo.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
53              CONTACTS/VENDORS         ADMIN PORTAL     E-24                                                                                    CONTACT/VENDOR CATALOG      High                                                                                                                                                                                                                                                                                       The Rolodex. A searchable, filterable master directory of all external partners (Suppliers, Crews, Trades) and internal Contacts. Designed for rapid dispatching based on location and trade type.                                                                                                                                                                                                                                                                                       - Map View: Pins showing vendor locations vs. active jobs; - Smart Filters: Filter by Trade (e.g., "Gutter" only), Status ("Active" vs "Blacklisted"), and Rating (4+ Stars); - "Near Me" Toggle: Sorts by distance to current job site.         To Do                                                                                                                    - As a Project Manager, I need to find a "Gutter Crew" near the Salt Lake City job site immediately so I can get a bid; - As Admin, I want to filter out anyone with "Expired Insurance" so I don't accidentally hire a liability.                                                                                                        - Search: Queries Name, Trade, and Alias tags; - Map: Loads Google Maps integration with clustering; - List View: Shows "Traffic Light" status dot (Green/Yellow/Red) next to name.      Pending                                                                            - Dependency: Linked to Google Maps API; - Data Source: Pulls from Vendor Profiles (E-10).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
54       CONTACT/VENDOR PROFILES         ADMIN PORTAL     E-25                                                             CONTACT INFORMATION FOR VENDORS/CONTACTS PAGE      High                                                                                                                                                                                                                     The Vendor Scorecard. The single source of truth for a partner's compliance, performance, and pricing. This page controls whether a vendor is ALLOWED to work. It houses their legal docs, their "RHIVE Score" (Performance), and their specific pricing agreements.                                                                                                                                                                                  - Compliance Traffic Light: Visual Header (Green = Good, Red = Insurance Expired - BLOCKS JOBS); - Document Vault: W9, Insurance, License (with expiration dates); - The Scorecard: Auto-calculated rating (1-5 Stars) based on "On-Time" % and "Defect" % from Punch Lists; - Price List Link: Connection to their specific pricing in E-08.         To Do                                                                                                                                                       - As an Admin, I want the system to auto-flag a vendor as "Red/Inactive" the second their insurance expires; - As a PM, I want to see their "RHIVE Score" before I hire them to ensure quality.                                                                                                            - Automation: Expired Document date = Auto-Lock Account; - Scorecard: Updates weekly based on E-25 (Punch List) data; - Financials: Shows "Total Paid YTD" from Finance module.      Pending                                                                   - Logic: "Red Light" status must physically prevent adding them to a Work Order in E-22 (Schedule).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
55               LEAD STAGE PAGE             Employee     E-26                                                                                INTAKE COMPLETION & TRIAGE      High                                                                                                                                                                                    The Holding Pen. Houses incomplete leads where data is missing. Designed for Employees to "finish the job" when a lead calls back. Displays all partial data and associated contacts. Primary function is to launch the Intake Form (E-03) to fill in the blanks and push the file to the next stage.                                                                                                                                                                                                                                                                                - "Resume Intake" Action: One-click opens E-03 with pre-filled partial data; - Contact Link: Shows all people associated with this address; - "Triage Mode": Visual indicators showing exactly what data is missing (e.g., "Missing Roof Age").         To Do                                                                                                             - As a Rep, I want to pull up a lead when they call back and instantly see what info we are missing so I can finish the intake; - As a System, I want to catch "Abandoned Carts" and hold them here until an employee completes the file.                                                                                                                        - Intake Launch: Successfully passes existing data to E-03; - Completion: Saving E-03 automatically moves file to E-19 (Estimate) or E-20 (Quote) based on answers.      Pending                                                            - Dependency: Linked to Customer Input (E-03); - Logic: "Incomplete" status prevents movement until fixed.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
56           ESTIMATE STAGE PAGE             Employee     E-27                                                                                     CONSULTATION & UPSELL      High                                                                                                                                                        The Advisor Hub. The screen used when discussing the Ballpark Estimate. Allows the Rep to view the calculated numbers, answer internal "Install FAQs" (Knowledge Base), and pivot the customer to the next step. Actions include "Schedule Inspection" (for leaks) or "Request Quote" (for buyers), which moves the file to E-20.                                                                                                                                                                                                                                                              - "Ballpark" Display: Shows the calculated price range; - "Install IQ" Sidebar: Searchable FAQs to answer technical questions live; - "Pivot" Buttons: "Schedule Inspection" (Moves to Quote/Inspection path) OR "Request Certified Quote" (Moves to Quote path).         To Do                                                                                                                              - As a Rep, I want to see the numbers clearly so I can explain them to the customer; - As a Rep, I want to click "Schedule Inspection" if they mention a leak, which instantly moves them to the Quote/Inspection stage.                                                                                                                       - Pivot Logic: "Inspection" = Triggers E-22 Calendar overlay -> Moves to E-20; "Quote Request" = Moves to E-20; - Data: Displays "Confidence Score" of the estimate.      Pending                                                                                                 - Dependency: Knowledge Base (FAQs); - Dependency: Scheduling Widget.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
57              QUOTE STAGE PAGE             Employee     E-28                                                                            QUOTE BUILDER & COMMAND CENTER      High                                             The Closing Room. The workspace for finalizing the deal. Supports all actions needed to close: Ordering 3rd Party Reports (Roofr), Building/Editing the Proposal, Taking Live Payments, Sending Signature Requests, and 2-Way Communication with the Customer Portal. Features ""Kiosk Mode"" which toggles the UI into a customer-facing ""Configurator,"" allowing the Rep to modify line items/prices live while sitting with the client.                                                                                                                     - ""Kiosk Mode"": Toggles interface to a clean, customer-facing view to add/remove upgrades live; - ""Order Roofr"": API integration to order measurement reports directly; - Quote Builder: Tools to edit line items/prices; - Payment Terminal: Credit Card/ACH input field; - Comm Hub: Chat interface linked to Customer Portal (C-01); - Signature Request: ""One-Click Send"" for digital contracts.         To Do                                                                                                      - As a Rep, I want to switch to ""Kiosk Mode"" so I can let the customer choose their own upgrades without seeing my backend margins; - As a Rep, I want to take a deposit payment over the phone and have it instantly update the quote status.                             - Kiosk Logic: Toggling ""Client View"" hides margin data and enables drag-and-drop upgrades; - Integration: Roofr API sends order/receives PDF; - Finance: Payment success updates status to ""Deposit Received""; - Comm: Chat logs save to project history.      Pending                                                                                               - Dependency: Roofr API; - Dependency: Merchant Processor (Stripe/etc).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
58            SIGN & VERIFY PAGE    Employee/Customer     E-29                                                                                CONTRACT & PAYMENT GATEWAY      High                                                                                                   The Checkout. A shopping-cart style experience where the customer verifies options, selects payment, and signs. Features a smart ""Logic Gate"" regarding the 3-Day Right of Rescission. Includes ""Live Cart Editing"" (Kiosk) so if a customer changes their mind at the last second (e.g., adds Gutter Guards), the Rep can add it instantly without retreating to the Quote Stage.                                                                               - ""Live Cart Editing"": Add/Remove products directly in the checkout flow; - Shopping Cart: Final review of scope/colors/upgrades; - Dynamic Payment: Card (Stripe w/ fee view), Cash/Check (triggers ""Pickup Scheduler""), or Financing (Redirects to Enhancify w/ pre-filled data); - ""Fast Track"" Checkbox: Waives 3-Day Rescission to unlock immediate production; - ""Welcome Bot"": Auto-texts specific scripts based on payment type.         To Do                                                   - As a Rep, I want to add ""Gutter Guards"" at the checkout screen because the customer just asked for them; - As a Customer, I want to waive the 3-day wait so you can start my roof tomorrow; - As a System, I must block the ""Schedule"" stage until money and signatures are legally verified.        - Kiosk Logic: ""Edit Cart"" button unlocks line items for modification; - Logic: Sign + Waiver + Deposit = Move to E-22 (Schedule) Immediately; - Logic: Financing = Tentative Schedule -> Sign -> Enhancify Redirect; - Automation: SMS ""Welcome"" text triggers upon signature.      Pending                                                              - Dependency: Enhancify API; - Dependency: Stripe API; - Dependency: Calendar Widget (Pickup & Install).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
59           SCHEDULE STAGE PAGE             Employee     E-30                                                                            LOGISTICS SEQUENCER & DISPATCH      High                                                                                        The Air Traffic Control. Manages the delicate dance between City (Permits), Supplier (Materials), and Crew (Labor). Enforces a strict dependency chain: Permit -> Material -> Labor. Features a ""Transparency Toggle"" (Kiosk View) allowing the Rep to flip the screen and show the customer exactly what is happening (e.g., ""Permit: Pending City Approval"") to explain timeline realities.                                                                                  - ""Transparency Toggle"": Switches view to a clean ""Domino's Tracker"" style timeline for the customer; - Dependency Chain: Visual ""Traffic Light"" system (Red = Permit Pending, Yellow = Material Pending, Green = Ready for Crew); - ""Weather Shield"": Warning icon (☂️) if rain > 30% on target date; - Supplier Sync: Input field for ""Earliest Delivery Date""; - Crew Dispatch Bot: AI Auto-calls/texts crew in native language.         To Do                                                                                                                                       - As a Rep, I want to show the customer the ""Permit Status"" screen so they understand why we can't start tomorrow; - As a PM, I want the system to prevent me from booking a crew before the shingles arrive.                                          - Kiosk View: Hides internal notes/costs, shows only Status Badges (Permit/Material/Crew); - Logic: Cannot send Labor Order until Permit is uploaded AND Material Date is confirmed; - Calendar: Blocks Crew scheduling < Material Delivery Date.      Pending                                                                                        - Dependency: Weather API; - Dependency: Twilio (SMS/Voice) for Crew Dispatch.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
60   PRE INSTALLATION STAGE PAGE             Employee     E-31                                                                        CUSTOMER ANXIETY MANAGEMENT & PREP      High                                                                                                                                          The Waiting Room. The critical phase between Scheduling and Install. Features a ""Product Manifest"" (Kiosk View) so the Rep can review the purchased items with the homeowner to ensure accuracy. Includes a ""Readiness Meter"" showing the % of prep tasks completed (e.g., ""Permit: Done"", ""Material: Landed"", ""Prep Guide: Signed"").                                                                                         - ""Product Manifest"": Visual grid of purchased items (Shingle Colors, Vent Types) to confirm delivery accuracy; - ""Readiness Meter"": Visual progress bar of pre-install tasks; - ""Wednesday Heartbeat"": Automated text/email sent every Wednesday confirming the install date; - ""Prep Guide"" Gate: Digital checklist the customer must sign; - ""Material Watchdog"": System scans inbox for Supplier Delivery Confirmations.         To Do                                                                                      - As a Rep, I want to show the client the ""Product Manifest"" to confirm they ordered ""Driftwood"" shingles before the truck arrives; - As a PM, I want the system to email the client every Wednesday so they don't call me asking if the date is still good.     - Kiosk View: Displays high-res images of selected products for verification; - Automation: Wednesday cron job fires successfully; - Logic: Customer ""Prep Form"" completion logs timestamp in DB; - Integration: Incoming Supplier Email triggers ""Material Landed"" status change.      Pending                                                                                                         - Dependency: Email Parser; - Dependency: Automations Engine.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
61            INSTALL STAGE PAGE             Employee     E-32                                                                        INSTALLATION EXECUTION & LIVE FEED  Critical                                                  The Construction Site. A mobile-first execution hub for Crews and a Command Center for PMs. It captures real-time proof of work via the "Live Feed" and manages "Trade Handoffs" (Roof -> Gutter). Features "Change Order Triage" where Crews flag issues (Photos/Dims), but the Office PM prices/sends them to the client. Includes a "Substantial Completion" gate where the PM verifies the roof is done to trigger the 40% invoice.                                                                             - "Live Photo Stream": Crew uploads (Tear-off/Dry-in) update Customer Portal instantly; - "Change Order Triage": Crew submits photo/dims of extra work -> PM estimates cost -> System sends approval link to Client; - "Trade Handoff Wizard": Completion form checking if subsequent trades are needed or if job moves to Punch List; - "40% Draw Trigger": PM clicks "Verify Roof Complete" -> System generates/sends Invoice + AWO immediately.         To Do                                                                                                                                                  - As a Crew Lead, I want to snap a photo of rotten decking so the PM can sell it without me stopping work; - As a PM, I want to click one button to invoice the 40% draw so I don't have to do math.                                                                                                               - Photo Upload: Tags images by stage (Start/Middle/End); - Logic: "Punch List" selection moves job to E-25; - Finance: "Verify Complete" action triggers Invoice Generation.      Pending                                                                                                   - Dependency: Mobile Camera Access; - Dependency: Invoicing Module.                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
62         PUNCH LIST STAGE PAGE             Employee     E-33                                                                                QUALITY CONTROL & CLOSEOUT      High                                                                             The Last 10%. The stage for identifying, assigning, and verifying fix-work. Features a "Defect Origin" system where Crews can propose items (requiring PM approval/pricing) while Admins create them directly. Includes a "Contractor Radar" scoring engine that tracks performance across multiple axes (Quality, Punctuality, Pricing) to penalize no-shows/defects and update the Vendor's global rating.                                                                                                                              - "Defect Proposal": Crews submit photo/notes -> PM approves/prices -> Item created; - "Contractor Radar": Multi-axis scoring (Quality, Punctuality, Pricing) updated live based on punch list activity; - "Reschedule Tracker": Logs no-shows and forces reason entry; auto-deducts score points; - "Verification Gate": Contractor uploads "Fixed" photo -> PM clicks "Verify" to release hold.         To Do                                                                                                                                                                                  - As a PM, I want to see exactly which contractor caused the leak so I can dock their score; - As an Owner, I want a monthly report of "No-Shows" to fire bad crews.                                                                                       - Logic: Crew submission triggers "Pending Approval" state; - Data: "No-Show" status creates a negative entry in Vendor Profile (E-10); - Visual: Radar Chart updates dynamically based on category.      Pending                                                                   - Dependency: Vendor Profiles (E-10); - Dependency: Invoicing (blocks final payment until cleared).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
63          INVOICING STAGE PAGE             Employee     E-34                                                                               FINAL BILLING & COLLECTIONS  Critical                                        The Cash Register. The final settlement stage designed to make any user an instant 'Expert' on the project history. Features a 'Visual Ledger' to track complex balances (Deposits, Draws, Change Orders). Distinguishes between Residential (Fast) and Commercial (Compliance) workflows, enforcing paperwork requirements for Government/Corp jobs. Includes an AI Collections Bot that executes follow-up calls and texts for unpaid balances.  - "Visual Ledger": Line-item view of all Charges (Contract + AWO) vs. Payments (Deposit + Draws) to show 'True Balance'; - "AWO Manager": Create/Edit post-install work orders live; - "Compliance Trigger": If 'Commercial/Gov', system blocks sending until specific docs (Lien Waivers/G702) are generated; - "Payment Action Center": One-click to Send Link, Schedule Check Pickup, or Offer Financing; - "Collections Bot": Auto-queues an AI Voice Call for invoices >3 days late -> Follows up with SMS Payment Link.         To Do                                                                                                     - As an Admin new to this file, I want to see exactly what happened on the job so I can answer billing questions like a pro; - As a Commercial PM, I want the system to remind me to attach the 'Lien Waiver' so my invoice doesn't get rejected.                       - Ledger: Math validates (Total Contract + AWO - Paid = Balance); - Commercial Logic: 'Gov' tag triggers 'Paperwork Required' modal; - Collections: Bot successfully logs call and sends SMS link; - Pickup: 'Check Pickup' adds logistics event to Calendar (E-11).      Pending                                                           - Dependency: Payment Gateway (Stripe); - Dependency: AI Voice Bot (Twilio); - Dependency: Calendar (E-11).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
64         PAYMENTS modular PAGE             Employee     E-35                                                                  MULTI-TENDER REGISTER & FINANCING BRIDGE      High                                                                                                             The Register. A flexible payment processing terminal that handles complex, split-tender transactions. Features a "Payment Designer" that lets customers mix-and-match methods (e.g., partial cash + partial financing). Automatically applies merchant fees to credit card portions and provides instant QR/SMS handoff for financing applications on the remaining balance.                                                                                         - "Payment Designer": Calculator allowing split payments (e.g., Input $5k Cash -> Auto-calculates remaining finance balance); - "Fee Protector": Toggle to add 3% Merchant Fee as a line item on Card transactions; - "Financing Bridge": Generates a QR Code/Link pre-filled with the exact remaining balance for the financing application; - "Receipt Generator": Auto-emails split receipts (Cash Receipt + Finance Confirmation).         To Do                                                                                                                                        - As a Rep, I want to let the customer pay their $500 deductible in cash and finance the rest without doing complex math; - As an Owner, I want to ensure we never pay the 3% Swipe Fee out of our own pocket.                                                                                                - Math: Total Balance - Partial Pay = Finance Amount; - Fee Logic: Card Amount * 1.03 = Charge Amount; - Integration: Financing Link carries specific dollar amount payload to application.      Pending                                                                                            - Dependency: Merchant Processor; - Dependency: Financing API (Enhancify).                                                                                                                                                                                                                                                                                                                                                                                                    NaN                      NaN                       NaN                        NaN
